T,AU,TI,PY,T2,VL,SP,EP,DO,UR,AD,AB,KW,PB,SN,LA,J2,M3,DB,N1,TY,C7,IS,ST,C2
,"Lezama, F.; Soares, J.; Faia, R.; Vale, Z.; Kilkki, O.; Repo, S.; Segerstam, J.",Bidding in local electricity markets with cascading wholesale market integration,2021,International Journal of Electrical Power and Energy Systems,131,,,10.1016/j.ijepes.2021.107045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104288539&doi=10.1016%2fj.ijepes.2021.107045&partnerID=40&md5=1fd0f99c66f6015af4dcce6fd3e41be5,"GECAD, School of Engineering, Polytechnic of Porto, Porto, Portugal; Polytechnic of Porto, Porto, Portugal; Enerim Oy, Helsinki, Finland","Local electricity markets are a promising idea to foster the efficiency and use of renewable energy at the distribution level. However, as such a new concept, how these local markets will be designed and integrated into existing market structures, and make the most profit from them, is still unclear. In this work, we propose a local market mechanism in which end-users (consumers, small producers, and prosumers) trade energy between peers. Due to possible low liquidity in the local market, the mechanism assumes that end-users fulfill their energy demands through bilateral contracts with an aggregator/retailer with access to the wholesale market. The allowed bids and offers in the local market are bounded by a feed-in tariff and an aggregator tariff guaranteeing that end-users get, at most, the expected cost without considering this market. The problem is modeled as a multi-leader single-follower bi-level optimization problem, in which the upper levels define the maximization of agent profits. In contrast, the lower level maximizes the energy traded in the local market. Due to the complexity of the matter, and lack of perfect information of end-users, we advocate the use of evolutionary computation, a branch of artificial intelligence that has been successfully applied to a wide variety of optimization problems. Throughout three different case studies considering end-users with distinct characteristics, we evaluated the performance of four different algorithms and assessed the benefits that local markets can bring to market participants. Results show that the proposed market mechanism provides overall costs improvements to market players of around 30–40% regarding a baseline where no local market is considered. However, the shift to local markets in energy procurement can affect the conventional retailer/aggregator role. Therefore, innovative business models should be devised for the successful implementation of local markets in the future. © 2021 The Authors",Bi-level optimization; Evolutionary computation; Local electricity markets; Renewable energy; Wholesale market; Evolutionary algorithms; Power markets; Profitability; Bi-level optimization; End-users; Energy; Local electricity market; Local markets; Market integration; Market mechanisms; Optimization problems; Renewable energies; Wholesale markets; Optimization,Elsevier Ltd,01420615 (ISSN),English,Int J Electr Power Energy Syst,Article,Scopus,"Export Date: 27 September 2024; Cited By: 28; Correspondence Address: F. Lezama; GECAD, School of Engineering, Polytechnic of Porto, Porto, Portugal; email: flz@isep.ipp.pt; CODEN: IEPSD",JOUR,107045,,,
,"Zjavka, L.",Power quality multi-step predictions with the gradually increasing selected input parameters using machine-learning and regression,2021,"Sustainable Energy, Grids and Networks",26,,,10.1016/j.segan.2021.100442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101138456&doi=10.1016%2fj.segan.2021.100442&partnerID=40&md5=9546bcb471712a4fcc46b1ad8f479a2f,"Department of Computer Science, Faculty of Electrical Engineering and Computer Science, VŠB-Technical University of Ostrava, 17. listopadu 15/2172, Ostrava, Czech Republic","Autonomous off-grid systems dependent upon Renewable Energy (RE) sources are characterized by stochastic supplies of the fluctuating low short-circuit power. Power Quality (PQ) standards define load characteristics in electric power systems and their ability to function properly without failures. Monitoring, prediction and optimization of PQ parameters are necessary to maintain their alterations steady within the prescribed range, which allow fault-tolerant operation of various electrical devices. It is not possible to measure complete PQ data for all possible combinations of dozens of grid-connected appliances, whose load specifics and collisions primarily determine the course of PQ parameters and their eventual disturbances. Self-adapting PQ prediction models based on Artificial Intelligence (AI) are required as induced power is influenced particularly by changeable weather conditions in real off-grid operation mode of systems using RE. A novel multi-step PQ prediction algorithm is proposed, which develops AI models with the gradually increasing number of selected input PQ-parameters. In each next step a more complex model is formed, using an additional co-related PQ-input to calculate its target PQ-output with a better accuracy. PQ-models with the progressively growing PQ-inputs, using their data predicted in the previous step, can better approximate and estimate the target quantity. The presented results show this training and feature selection procedure can step by step improve accuracy of PQ-models for unknown combinations of off-grid connected household appliances. © 2021 Elsevier Ltd",Feature selection; Machine learning; Multi-step prediction; Power quality; Regression; Domestic appliances; Electric power transmission networks; Forecasting; Machine learning; Microgrids; Predictive analytics; Stochastic systems; Electrical devices; Fault tolerant operations; Load characteristics; Multi-step prediction; Prediction algorithms; Renewable energies; Selection procedures; Short-circuit power; Power quality,Elsevier Ltd,23524677 (ISSN),English,Sustain. Energy Grids Netw.,Article,Scopus,Export Date: 27 September 2024; Cited By: 10,JOUR,100442,,,
,"Shalal, A.F.; Aljanabi, M.; Al-Shamani, A.N.; Duhis, A.H.",A state of the art a hybrid intelligent strategies of maximum power point tracking: a systematic contemporary,2023,International Journal of Power Electronics and Drive Systems,14,1768,1780,10.11591/ijpeds.v14.i3.pp1768-1780,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166965397&doi=10.11591%2fijpeds.v14.i3.pp1768-1780&partnerID=40&md5=63a64c1da7903fd74b1ba6799770d8ef,"Department Electrical Power Techniques Engineering, Technical College /AL-Mussaib, Al-Furat Al-Awsat Technical University, Najaf, Iraq; Department of Quality Assurance and University Performance, Al-Furat Al-Awsat Technical University, Najaf, Iraq","Renewable energy sources are among the best substitute sources to fossil fuel due to it is very suitable for mitigating global warming; solar energy is considered the main causes of renewable energy, and solar photovoltaic (PV) generation systems have gained importance worldwide due to several characteristics, including cheap maintenance, low noise, and low fuel costs. However, one of the most difficult challenges facing solar energy systems is changing weather circumstances. The robust control approach stabilizes the PV system's output and maximizes harvested energy. In this study, several maximum power point tracking (MPPT) performances have been presented. Among them, artificial intelligence (AI) based on MPPT methods demonstrates the ability to capture the MPP point. There are several ways to apply AI to MPPT, and this paper presented various intelligent MPPT methods in detail with their benefits and drawbacks and comparison among them to select which technique is suitable and can be used to change weather conditions with horse optimization method (HOM) plus neural artificial system (NAS). © 2023, Institute of Advanced Engineering and Science. All rights reserved.",Artificial intelligence; Horse optimization method; Intelligent MPPT; Neural artificial system; Non-uniform shading; Photovoltaic; Traditional methods,Institute of Advanced Engineering and Science,20888694 (ISSN),English,Int. J. Power Electron. Drive Syst.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: M. Aljanabi; Department Electrical Power Techniques Engineering, Technical College/Al-Mussaib Al-Furat Al-Awsat Technical University, Najaf, Iraq; email: aljanabimohanad@gmail.com",JOUR,,3,,
,"Algarvio, H.",Multi-step optimization of the purchasing options of power retailers to feed their portfolios of consumers,2022,International Journal of Electrical Power and Energy Systems,142,,,10.1016/j.ijepes.2022.108260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129543805&doi=10.1016%2fj.ijepes.2022.108260&partnerID=40&md5=083f8d0933e3d7b4c2efd10105135e28,"LNEG-National Research Institute, Est. Paço do Lumiar 22, Lisbon, Portugal","The liberalization of the retail market of electricity increased the tariff choice of end-use consumers. Retailers compete in the retail market for customers, obtaining private portfolios of end-use consumers to manage. Retailers buy electricity at wholesale markets to feed their customers’ demands. They can use spot, derivatives, and bilateral markets to acquire the energy they need. The increasing levels of variable renewable energy sources trading at spot markets, increase the price volatility of these markets. To hedge against the volatility of spot prices, retailers may negotiate standard physical or financial bilateral contracts at derivatives markets. Alternatively, they can also negotiate private bilateral contracts. This article addresses the optimization of the retailers purchasing options, to increase their risk-return ratio from electricity markets, and offer more competitive tariffs to consumers. Considering the risk attitude of retailers, they use a multi-step purchasing model composed of a multi-level risk-return optimization and a decision support system. The article presents an agent-based study considering a retailer with a portfolio of 312 real-world consumers. Risk-seeking and risk-neutral retailers obtained a return up to 38%, less than 7% of the optimal return. However, risk-neutral retailers are subject to four times higher risk in their returns than risk-seeking retailers. The results support the conclusion that wholesale markets of electricity are more favourable to risk-seeking retailers, considering their real returns. © 2022 Elsevier Ltd",Agent-based simulation; Purchasing options of power retailers; Risk attitude; Risk-return optimization; Wholesale markets; Artificial intelligence; Costs; Decision support systems; Power markets; Renewable energy resources; Agent based simulation; Market of electricities; Multisteps; Optimisations; Power retailers; Purchasing option of power retailer; Retail market; Risk attitude; Risk-return optimization; Wholesale markets; Sales,Elsevier Ltd,01420615 (ISSN),English,Int J Electr Power Energy Syst,Article,Scopus,Export Date: 27 September 2024; Cited By: 15; CODEN: IEPSD,JOUR,108260,,,
,"Ramadan, A.; Kamel, S.; Hassan, M.H.; Ahmed, E.M.; Hasanien, H.M.",Accurate Photovoltaic Models Based on an Adaptive Opposition Artificial Hummingbird Algorithm,2022,Electronics (Switzerland),11,,,10.3390/electronics11030318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123520897&doi=10.3390%2felectronics11030318&partnerID=40&md5=9b5b05f9267f7e34b60d746c73907cff,"Department of Electrical Engineering, Faculty of Engineering, Aswan University, Aswan, 81542, Egypt; Department of Electrical Engineering, College of Engineering, Jouf University, Sakaka, 72388, Saudi Arabia; Electrical Power and Machines Department, Faculty of Engineering, Ain Shams University, Cairo, 11517, Egypt","The greater the demand for energy, the more important it is to improve and develop permanent energy sources, because of their advantages over non-renewable energy sources. With the development of artificial intelligence algorithms and the presence of so many data, the evolution of simulation models has increased. In this research, an improvement to one recent optimization algorithm called the artificial hummingbird algorithm (AHA) is proposed. An adaptive opposition approach is suggested to select whether or not to use an opposition-based learning (OBL) method. This improvement is developed based on adding an adaptive updating mechanism to enable the original algorithm to obtain more accurate results with more complex problems, and is called the adaptive opposition artificial hummingbird algorithm (AOAHA). The proposed AOAHA was tested on 23 benchmark functions and compared with the original algorithm and other recent optimization algorithms such as supply–demand-based optimization (SDO), wild horse optimizer (WHO), and tunicate swarm algorithm (TSA). The proposed algorithm was applied to obtain accurate models for solar cell systems, which are the basis of solar power plants, in order to increase their efficiency, thus increasing the efficiency of the whole system. The experiments were carried out on two important models—the static and dynamic models—so that the proposed model would be more representative of real systems. Two applications for static models have been proposed: In the first application, the AOAHA satisfies the best root-mean-square values (0.0009825181). In the second application, the performance of the AOAHA is satisfied in all variable irradiance for the system. The results were evaluated in more than one way, taking into account the comparison with other modern and powerful optimization techniques. Improvement showed its potential through its satisfactory results in the tests that were applied to it. © 2022 by the authors.",AHA; AOAHA; Benchmark function; Optimization; Permanent energy; Static and dynamic models,MDPI,20799292 (ISSN),English,Electronics (Switzerland),Article,Scopus,"Export Date: 27 September 2024; Cited By: 41; Correspondence Address: E.M. Ahmed; Department of Electrical Engineering, College of Engineering, Jouf University, Sakaka, 72388, Saudi Arabia; email: emamahmoud@ju.edu.sa",JOUR,318,3,,
,"Ajiboye, O.K.; Ofosu, E.A.; Gyamfi, S.; Oki, O.",Hybrid Renewable Energy System Optimization via Slime Mould Algorithm,2023,International Journal of Engineering Trends and Technology,71,83,95,10.14445/22315381/IJETT-V71I6P210,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164393059&doi=10.14445%2f22315381%2fIJETT-V71I6P210&partnerID=40&md5=16ace3a34846b3bb7c3b1c54ca3b2f85,"Regional Centre for Energy and Environment Sustainability (RCEES), School of Energy, The University of Energy and Natural Resources (UENR), Ghana; Department of Information Technology, Walter Sisulu University, BBC, South Africa","Various techniques have been used in the optimization of hybrid renewable energy systems (HRES). The most effective are metaheuristic algorithms based on artificial intelligence (AI) because of their ability to handle various parameters such as multiple objectives, parallelism features that allow for simultaneous evaluation of multiple schemes, and their ability to obtain optimal results that are systematic and deterministic. However, in the application of optimization algorithms regarding the Non-free lunch theorem, one algorithm performs better than the other in obtaining the best fitness function with convergence time. Therefore, the slime mould algorithm (SMA) prowess was tested in HRES optimization against two conflicting multi-objectives. The best fitness function for the total annual cost (TAC) was obtained with minimum convergence time, while the relationship between TAC and loss of load probability (LOLP) is shown to be proportionate to one another. The SMA provided optimal sizing of solar PV, hydro turbine, and biogas generator to meet the load requirement of the study area. In addition, the result shows that SMA is more promising in terms of convergence time. © 2023 Seventh Sense Research Group®",Hybrid Renewable Energy; Lost of load probability; Optimization; Slime mould algorithm; Total annual cost,Seventh Sense Research Group,23490918 (ISSN),English,Int. J. Eng. Trends Technol.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 3; Correspondence Address: O.K. Ajiboye; Regional Centre for Energy and Environment Sustainability (RCEES), School of Energy, The University of Energy and Natural Resources (UENR), Ghana; email: olalekan.ajiboye.stu@uenr.edu.gh",JOUR,,6,,
,"Starke, A.R.; da Silva, A.K.",A review on the applicability of machine learning techniques to the metamodeling of energy systems,2023,"Numerical Heat Transfer, Part B: Fundamentals",,,,10.1080/10407790.2023.2280208,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178488731&doi=10.1080%2f10407790.2023.2280208&partnerID=40&md5=37ce39004cae95fc69eaa49faa177487,"Department of Mechanical Engineering, Federal University of Santa Catarina, SC, Florianópolis, Brazil","The use of physics-based models for the development and optimization of energy systems is popular due to their versatility. However, their inherent complexity often makes these simulations computationally prohibitive, despite the current computational power available nowadays. This problem is aggravated when considering renewable energy systems, which are subjected to intermittent weather conditions and must be operated in connection with a grid of variable demand. In that sense, the use of metamodels has shown immense potential in the simulation, analysis, and optimization of energy systems. Therefore, this review presents a comprehensive analysis of the extensive application of metamodeling techniques in energy systems. After conducting a careful search using the Scopus database while targeting a well-defined group of keywords, 474 articles published from 2013 to 2023 were obtained in the present literature review. With a rigorous filtering and screening process, the first pool of articles was reduced to 126. The resulting articles were then separated in two main groups, reviews and research articles. Each of these groups was further organized in terms of the energy system studied, as well as the applicability, machine learning technique and error indicator. The results indicate a steady and significant growth in the number of publications associated with energy systems and different types of metamodeling techniques. The reasons are arguably twofold, reduction of computational time provided by the metamodels and their good accuracy. Nevertheless, and as reported by other studies, the review also identified the need to develop a standardized method for evaluating the error analysis of these models and a comparison between their actual efficiency, which includes accuracy and time. Furthermore, no clear relation was found between specific types of metamodels and specific energy systems. © 2023 Taylor & Francis Group, LLC.",Artificial intelligence; digital twins; energy system; machine learning; metamodels; renewable energy; thermal science; E-learning; Learning algorithms; Renewable energy resources; Energy systems; Machine learning techniques; Machine-learning; Meta model; Metamodeling; Metamodeling techniques; Optimisations; Physics-based models; Renewable energies; Thermal science; Machine learning,Taylor and Francis Ltd.,10407790 (ISSN),English,Numer Heat Transfer Part B Fundam,Article,Scopus,"Export Date: 27 September 2024; Cited By: 1; Correspondence Address: A.R. Starke; Department of Mechanical Engineering, Federal University of Santa Catarina, Florianópolis, SC, 88040-900, Brazil; email: allan.starke@lepten.ufsc.br; CODEN: NHBFE",JOUR,,,,
,"Son, H.S.; Nawaz, M.S.; Soukane, S.; Ghaffour, N.",Hybrid desalination technologies for sustainable water-energy nexus: innovation in integrated membrane module development,2022,Desalination and Water Treatment,263,1,2,10.5004/dwt.2022.28193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136169699&doi=10.5004%2fdwt.2022.28193&partnerID=40&md5=6151c1efdba9743bc22887471f72c064,"Water Desalination and Reuse Center, Division of Biological and Environmental Science and Engineering, King Abdullah University of Science and Technology, Thuwal, 23955–6900, Saudi Arabia; Department of Engineering Management, College of Engineering, Prince Sultan University, Riyadh, 11586, Saudi Arabia","Global water scarcity is an imminent problem caused by the increasing water demand arising from population and economic growth. Against this background, technologies for water resource management and treatment have been developed steadily to meet the water demand targets. However, further advances are necessary for securing environmental and economic sustainability. The management of saline water and wastewater is one of the focus areas to tackle the problems of water scarcity and sustainability in the context of water desalination. Hybrid desalination is one of the most practical and efficient technologies that can afford environmental and economic sustainability. Hybridization of multiple processes maximizes the advantages of individual technologies and minimizes their drawbacks. The overall research on desalination and research on hybrid desalination, in particular, increased by a compound annual growth rate of 16.6% and 21.8%, respectively, from 2011 to 2020. Meanwhile, in 2020, 10.7% of scientific articles and reviews dealt with hybrid technologies. Moreover, the advances in hybrid technology are not limited to academic research; they have been widely implemented in the desalination industry. Reverse osmosis–multistage flash (RO-MSF) hybrid technology has been adopted for the largest desalination plant in the world, with a total water production of 1,036,000 m3/d in Ras Al-Khair, Saudi Arabia. The synergetic impacts of hybridization have various benefits depending on the desalination processes selected. In an RO-MSF system, the hybridization leads to additional water production with higher water recovery compared to a standalone RO system. Improvement in energy efficiency is another advantage of hybrid technologies as observed in the case of membrane distillation–adsorp-tion (MD-AD) hybrid system. However, the challenges of hybrid desalination technologies are the complexity of process design, optimization, and operations. In this paper, the case of a forward osmosis–membrane distillation (FO-MD) hybrid system is presented to identify the challenges and potential solutions for hybrid desalination technologies. An FO process is driven by the osmotic pressure difference between two streams and produces water across a hydrophilic polymeric membrane. By using a saline solution, known as the draw solu-tion, freshwater may be recovered from a targeted feed solution stream with relatively lower salin-ity. MD is a thermal membrane process that makes use of the difference in vapor pressure between hot and cold streams to transport water vapor across the membrane to a cold permeate solution. These two membrane processes (FO and MD) are selected to treat the produced water, which is a by-product in the oil and gas industry; produced water has extremely high salinity and complex organic composition and hence is one of the most challenging wastewater streams for water treat-ment. Since FO and MD employ two different energy potentials (i.e., osmotic and thermal ener-gies, respectively), hybridization allows maximizing the use of available energy in target streams (i.e., produced water). To solve the challenge of complexity of hybridization, a novel integrated membrane module was developed for an FO-MD hybrid system. To evaluate the performance of the FO-MD hybrid system for produced water treatment, syn-thetic produced water streams were prepared according to water quality references from a conventional oil and gas production facility. Separate FO and MD experiments were conducted to study the membrane-fouling phenomena of different produced water qualities. In addition, the FO-MD hybrid system is operated with varied combinations of produced water streams for sustainability evaluation. The experimental results demonstrate the great potential of the FO-MD hybrid system for sustainable produced water treatment. Long-term operation of the hybrid system and experiments with real produced water samples are necessary for scaling up and optimizing the technology. Investigating the water–energy nexus related to the desalination technologies integrated with renewable energy is one approach to broaden the applications of hybrid desalination tech-nologies. Such a study will emphasize the advantages of hybridization despite the complex challenges. The benefits of hybrid technologies in terms of greater water production, higher recovery, and cleaner water quality will be synergized with less energy consumption by their integration with renewable energy. Meanwhile, artificial intelligence (AI)-based process design, optimization, and control will be an important tool to address the complexity of hybrid desalination technologies and will provide a comprehensive understanding of the challenges, for which the conventional experimental and theoretical studies are still limited. AI algorithms, such as machine learning and artificial neural network algorithms, are the leading approaches to the advancement of AI-assisted smart desalination. © 2022 Desalination Publications. All rights reserved.",Forward osmosis–membrane distillation; Hybrid desalination; Reverse osmosis–multistage flash; Water-energy nexus; Saudi Arabia; adsorption; alternative energy; artificial intelligence; desalination; distillation; energy efficiency; fouling; membrane; reverse osmosis; wastewater treatment; water quality; water resource; water vapor,Desalination Publications,19443994 (ISSN),English,Desalin. Water Treat.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 3; Correspondence Address: H.S. Son; Water Desalination and Reuse Center, Division of Biological and Environmental Science and Engineering, King Abdullah University of Science and Technology, Thuwal, 23955–6900, Saudi Arabia; email: hyuksoo.son@kaust.edu.sa",JOUR,,,,
,"Serban, A.C.; Lytras, M.D.",Artificial intelligence for smart renewable energy sector in europe - Smart energy infrastructures for next generation smart cities,2020,IEEE Access,8,77364,77377,10.1109/ACCESS.2020.2990123,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084818323&doi=10.1109%2fACCESS.2020.2990123&partnerID=40&md5=31e6363c01b40f3feb078704e41aefb1,"Department of Economics and Economic Policy, Bucharest University of Economic Studies, Bucharest, 010374, Romania; King Abdulaziz University, Jeddah, 21589, Saudi Arabia; Effat University, Jeddah, 22332, Saudi Arabia","One of the most challenging areas of Future Smart Cities Research is the Smart Energy domain. Critical issues related to optimization, provision of smart customizable networks and sophisticated computational techniques and methods enabled by artificial intelligence and machine learning need further investigation. The renewable energy (RE) is a powerful resource for the future global development in the context of climate change and resources depletion. Artificial intelligence (AI) implies new rules of organizing the activities in order to respond to these new requirements. It is necessary to improve the design of the energy infrastructure, the deployment and production of RE in order to face the multiple challenges that will affect the sector's growth and resilience.. In this research work we exploit the recent developments on the AI adoption for RE sector in European Union (EU). In this respect, we analysed (i) the efficiency of the transformation processes of the RE within the energy chain from Gross Inland Consumption to Final Energy Consumption, (ii) its implications on the structure of renewable energy by source (solar, wind, biomass etc.), (iii) the labour productivity in RE sector compared to the economy as a whole and its correlation with investments level, (iv) the implication of the adoption of AI for RE towards Future Smart Cities Research. The main contribution of this research is the development of a framework for understanding the contribution of AI in the RE sector in Europe. Another bold contribution of this work is the discussion of the implications for Future Smart Cities Research and future research directions. © 2013 IEEE.",artificial intelligence; energy grid; energy sector; Future smart cities research; innovation; machine learning; optimization; renewable energy; smart grids; Artificial intelligence; Climate change; Economics; Energy policy; Energy utilization; Productivity; Smart city; Computational technique; Energy infrastructures; Future research directions; Implications for futures; Labour productivities; Renewable energy sector; Resources depletion; Transformation process; Investments,Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"Export Date: 27 September 2024; Cited By: 133; Correspondence Address: A.C. Serban; Department of Economics and Economic Policy, Bucharest University of Economic Studies, Bucharest, 010374, Romania; email: andre_serban@yahoo.com",JOUR,9076660,,,
,"Misak, S.; Stuchly, J.; Vantuch, T.; Burianek, T.; Seidl, D.; Prokop, L.",A holistic approach to power quality parameter optimization in AC coupling Off-Grid systems,2017,Electric Power Systems Research,147,165,173,10.1016/j.epsr.2017.02.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014665574&doi=10.1016%2fj.epsr.2017.02.021&partnerID=40&md5=bd5c7242cd55d401f5454c42f40cde39,"Centre ENET, VSB- TU Ostrava, 15 17. listopadu, Ostrava, Czech Republic","The development of autonomous energy systems has been accompanied by a number of challenges related to the specific characteristics of these systems, such as power flow control, development of protection systems respecting the dynamic changes in short-circuit power and the issue of compliance with power quality parameters. To keep the power quality parameters of electrical energy in Off-Grid systems within the limit is highly complicated with regards to the supply of electrical energy from renewable sources of a stochastic nature, which are used as dominant sources of electric or heat energy. Variations in short-circuit power may significantly affect the system stability and may have a negative impact on the operation in case of sensitive appliances. We developed tools and methods to keep the power quality parameters in Off-Grid systems within the limits using an intelligent approach based on an artificial intelligence technique. Our computational model is able to predict disturbances in power quality and perform a set of proper reactions to avoid such disturbances with over 60% success rate in time horizon of 15 min ahead. As a result, it is subsequently possible to optimize the operation of Off-Grid systems and thus contribute to improvements in the power quality parameters in Off-Grid systems. © 2017 Elsevier B.V.",Artificial intelligence; Off-Grid system; Power quality; Renewable energy sources; Artificial intelligence; Compliance control; Electric load flow; Power quality; Renewable energy resources; Stochastic systems; System stability; Artificial intelligence techniques; Computational model; Off-grid system; Power flow controls; Power quality parameters; Protection systems; Renewable energy source; Short-circuit power; Electric power transmission networks,Elsevier Ltd,03787796 (ISSN),English,Electr Power Syst Res,Article,Scopus,Export Date: 27 September 2024; Cited By: 8; Correspondence Address: J. Stuchly; email: jindrich.stuchly@vsb.cz; CODEN: EPSRD,JOUR,,,,
,"Sun, Q.-Y.; Yang, L.-X.; Zhang, H.-G.",Smart energy — Applications and prospects of artificial intelligence technology in power system,2018,Kongzhi yu Juece/Control and Decision,33,938,949,10.13195/j.kzyjc.2017.1632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053716122&doi=10.13195%2fj.kzyjc.2017.1632&partnerID=40&md5=c73eb39cc93689d6cdccb8af8372e1e3,"College of Information Science and Engineering, Northeastern University, Shenyang, 110004, China","In the context of the increasingly serious environmental pollution and the gradual depletion of fossil energy, the development of energy systems tends to be cleaner and smarter. Our country has promoted the development of smart energy to a national strategy. As a core part of energy system, power system has wide application and strong regulation ability and its control is complex, and its intelligence level will determine the intelligence level of the energy system. With the high proportion of new energy terminals such as distributed power, electric vehicles and distributed energy storage components which have diversified features including energy production, storage and consumption in power grids, modern power systems are characterized by complex nonlinearity, strong uncertainty and strong coupling. The traditional modeling, optimization and control technologies have many limitations. Artificial intelligence technology will be effective in solving complex system control and decision problems, therefore, this article combs the development of artificial intelligence in the application of power system firstly. According to the hot area of application of artificial intelligence in power system, this paper expounds the application of artificial intelligence in power system scheduling, planning and electricity market and the future direction of the research content is prospected. © 2018, Editorial Office of Control and Decision. All right reserved.",Artificial intelligence; Energy internet; Optimal control; Power system; Renewable energy; Smart energy; Artificial intelligence; Electric energy storage; Electric power system control; Electric power transmission networks; Renewable energy resources; Terminals (electric); Energy internet; Optimal controls; Power System; Renewable energies; Smart energies; Electric power system planning,Northeast University,10010920 (ISSN),Chinese,Kongzhi yu Juece Control Decis,Article,Scopus,"Export Date: 27 September 2024; Cited By: 36; Correspondence Address: Q.-Y. Sun; College of Information Science and Engineering, Northeastern University, Shenyang, 110004, China; email: sunqiuye@ise.neu.edu.cn; CODEN: KYJUE",JOUR,,5,智慧能源——人工智能技术在电力系统中的应用与展望,
,"Rahim, S.; Javaid, N.; Ahmad, A.; Khan, S.A.; Khan, Z.A.; Alrajeh, N.; Qasim, U.",Exploiting heuristic algorithms to efficiently utilize energy management controllers with renewable energy sources,2016,Energy and Buildings,129,452,470,10.1016/j.enbuild.2016.08.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981346624&doi=10.1016%2fj.enbuild.2016.08.008&partnerID=40&md5=2c677783357840763c128510930365ba,"COMSATS Institute of Information Technology, Islamabad, 44000, Pakistan; Faculty of Engg., Dalhousie University, Halifax, B3J 4R2, NS, Canada; CAMS, Dept. of Biomedical Technology, KSU, Riyadh, 11633, Saudi Arabia; Cameron Library, University of Alberta, Edmonton, T6G 2J8, AB, Canada","In this paper, we comparatively evaluate the performance of home energy management controller which is designed on the basis of heuristic algorithms; genetic algorithm (GA), binary particle swarm optimization (BPSO) and ant colony optimization (ACO). In this regard, we introduce a generic architecture for demand side management (DSM) which integrates residential area domain with smart area domain via wide area network. In addition, problem formulation is carried via multiple knapsack problem. For energy pricing, combined model of time of use tariff and inclined block rates is used. Simulation results show that all designed models for energy management act significantly to achieve our objections and proven as a cost-effective solution to increase sustainability of smart grid. GA based energy management controller performs more efficiently than BPSO based energy management controller and ACO based energy management controller in terms of electricity bill reduction, peak to average ratio minimization and user comfort level maximization. © 2016 Elsevier B.V.",Demand side management; Heuristic techniques; Inclined block rate; Multiple knapsack problems; Renewable energy sources; Smart grid; Time of use tariff; Algorithms; Ant colony optimization; Artificial intelligence; Combinatorial optimization; Controllers; Cost effectiveness; Demand side management; Electric power transmission networks; Electric utilities; Energy management; Genetic algorithms; Heuristic algorithms; Heuristic methods; Natural resources; Optimization; Particle swarm optimization (PSO); Renewable energy resources; Wide area networks; Block rate; Heuristic techniques; Multiple knapsack problem; Renewable energy source; Smart grid; Time-of-use tariffs; Smart power grids,Elsevier Ltd,03787788 (ISSN),English,Energy Build.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 263; Correspondence Address: N. Javaid; COMSATS Institute of Information Technology, Islamabad, 44000, Pakistan; email: nadeemjavaidqau@gmail.com; CODEN: ENEBD",JOUR,,,,
